Standingstill,Distance covered,Mean,Max distance covered,Starting -ending position,Label
57,389.1794126,0.648632354,4.870465008,56.91401976,Walking
69,375.5210712,0.625868452,6.534375785,16.62278227,Walking
69,399.6941104,0.666156851,4.82617856,10.64686511,Walking
71,350.4635942,0.58410599,5.36263771,65.86834764,Walking
36,457.5724861,0.76262081,6.335272187,106.8932837,Walking
26,496.4374843,0.827395807,8.470763379,13.50657,Walking
27,565.2387347,0.942064558,7.294655113,74.12846749,Walking
51,454.3202858,0.757200476,6.664165961,42.41840568,Walking
24,494.2258965,0.823709828,6.927094219,74.01143978,Walking
102,327.6999534,0.546166589,5.953546131,80.1059751,Walking
108,335.994568,0.559990947,7.377634864,54.40051609,Walking
153,233.9451395,0.389908566,4.003188071,26.10314171,Walking
121,286.1208076,0.476868013,4.038804585,24.95228857,Walking
134,272.8747202,0.4547912,4.031950463,24.97108406,Walking
71,398.5216201,0.6642027,8.32898763,73.48599042,Walking
91,351.4871446,0.585811908,6.268659945,80.50241926,Walking
121,319.5083643,0.532513941,13.5488164,40.04874762,Walking
116,338.1660396,0.563610066,6.933497491,83.44836318,Walking
80,347.3541676,0.578923613,6.833326473,68.43330368,Walking
57,452.1974741,0.753662457,7.251994051,67.55870923,Walking
23,509.8897372,0.849816229,6.597919765,30.43090397,Walking
44,470.0071848,0.783345308,6.657505673,13.22545824,Walking
